step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
6360,2.28960000000000000e+07,-1.97268632471785202e+35,1.63251123102608849e-12,5.08216264590622720e+16,3.18360656733699574e+31,0.00000000000000000e+00,6.50054835674671680e+16,1.50861297265462947e+09,3.66081477548784137e+08,0.00000000000000000e+00,3.66081477548784137e+08
6384,2.29824000000000000e+07,-1.97268632471785423e+35,1.63363336040931201e-12,4.57484798085038080e+16,3.18360656733699574e+31,0.00000000000000000e+00,6.11211794935672480e+16,1.50861297265462971e+09,3.67462917086704016e+08,0.00000000000000000e+00,3.67462917086704016e+08
6408,2.30688000000000000e+07,-1.97268632471786936e+35,1.64130124452800476e-12,4.50975689248604160e+16,3.18360656733699574e+31,0.00000000000000000e+00,6.06355168265952960e+16,1.50861297265462947e+09,3.68844356624623775e+08,0.00000000000000000e+00,3.68844356624623775e+08
6432,2.31552000000000000e+07,-1.97268632471789703e+35,1.65532786181829650e-12,3.67720668793405440e+16,3.18360656733699528e+31,0.00000000000000000e+00,5.81414298322965280e+16,1.50861297265462947e+09,3.70225796162543535e+08,0.00000000000000000e+00,3.70225796162543535e+08
6456,2.32416000000000000e+07,-1.97268632471793392e+35,1.67403001820535215e-12,3.96198019952803840e+16,3.18360656733699528e+31,0.00000000000000000e+00,5.99830782013593440e+16,1.50861297265462852e+09,3.71607235700463593e+08,0.00000000000000000e+00,3.71607235700463593e+08
6480,2.33280000000000000e+07,-1.97268632471798262e+35,1.69871686463626569e-12,3.58462780887531520e+16,3.18360656733699438e+31,0.00000000000000000e+00,6.48507720520123440e+16,1.50861297265462875e+09,3.72988675238383472e+08,0.00000000000000000e+00,3.72988675238383472e+08
6504,2.34144000000000000e+07,-1.97268632471804165e+35,1.72864031485555469e-12,4.25445029251645440e+16,3.18360656733699438e+31,0.00000000000000000e+00,6.87800967727959440e+16,1.50861297265462875e+09,3.74370114776303411e+08,0.00000000000000000e+00,3.74370114776303411e+08
6528,2.35008000000000000e+07,-1.97268632471810990e+35,1.76323930417160761e-12,4.53834419480821760e+16,3.18360656733699438e+31,0.00000000000000000e+00,7.05714091256564400e+16,1.50861297265462971e+09,3.75751554314223409e+08,0.00000000000000000e+00,3.75751554314223409e+08
6552,2.35872000000000000e+07,-1.97268632471818590e+35,1.80176574632894223e-12,3.87643819488706560e+16,3.18360656733699438e+31,0.00000000000000000e+00,6.65082272414756960e+16,1.50861297265463042e+09,3.77132993852143288e+08,0.00000000000000000e+00,3.77132993852143288e+08
6576,2.36736000000000000e+07,-1.97268632471827223e+35,1.84552879227465272e-12,4.54428155759820800e+16,3.18360656733699528e+31,0.00000000000000000e+00,6.39788281217926560e+16,1.50861297265462995e+09,3.78514433390063345e+08,0.00000000000000000e+00,3.78514433390063345e+08
6600,2.37600000000000000e+07,-1.97268632471837258e+35,1.89639865764744380e-12,4.68721806920908800e+16,3.18360656733699393e+31,0.00000000000000000e+00,7.49981902838271840e+16,1.50861297265462995e+09,3.79895872927983224e+08,0.00000000000000000e+00,3.79895872927983224e+08
6624,2.38464000000000000e+07,-1.97268632471847773e+35,1.94969980335055278e-12,4.80882405524111360e+16,3.18360656733699348e+31,0.00000000000000000e+00,7.92958458038142560e+16,1.50861297265462947e+09,3.81277312465903163e+08,0.00000000000000000e+00,3.81277312465903163e+08
6648,2.39328000000000000e+07,-1.97268632471858915e+35,2.00618031563946064e-12,4.46159828318945280e+16,3.18360656733699483e+31,0.00000000000000000e+00,6.66690144377263120e+16,1.50861297265462875e+09,3.82658752003822863e+08,0.00000000000000000e+00,3.82658752003822863e+08
6672,2.40192000000000000e+07,-1.97268632471870979e+35,2.06733636702513261e-12,4.78265567850004480e+16,3.18360656733699483e+31,0.00000000000000000e+00,6.88589216873944720e+16,1.50861297265462947e+09,3.84040191541743040e+08,0.00000000000000000e+00,3.84040191541743040e+08
6696,2.41056000000000000e+07,-1.97268632471883670e+35,2.13167178499660428e-12,5.25104763193262080e+16,3.18360656733699528e+31,0.00000000000000000e+00,6.91779667498813200e+16,1.50861297265462971e+09,3.85421631079663157e+08,0.00000000000000000e+00,3.85421631079663157e+08
6720,2.41920000000000000e+07,-1.97268632471896694e+35,2.19769039704291082e-12,5.52130759003996160e+16,3.18360656733699483e+31,0.00000000000000000e+00,7.41798848234825760e+16,1.50861297265462971e+09,3.86803070617583334e+08,0.00000000000000000e+00,3.86803070617583334e+08
6744,2.42784000000000000e+07,-1.97268632471910861e+35,2.26950667756920419e-12,5.54879538073436160e+16,3.18360656733699483e+31,0.00000000000000000e+00,7.43847066255406560e+16,1.50861297265462947e+09,3.88184510155503333e+08,0.00000000000000000e+00,3.88184510155503333e+08
6768,2.43648000000000000e+07,-1.97268632471925212e+35,2.34225806591485103e-12,5.92240943185264640e+16,3.18360656733699438e+31,0.00000000000000000e+00,8.01758088875663200e+16,1.50861297265462947e+09,3.89565949693423450e+08,0.00000000000000000e+00,3.89565949693423450e+08
6792,2.44512000000000000e+07,-1.97268632471939785e+35,2.41613158364372057e-12,5.09689610171842560e+16,3.18360656733699483e+31,0.00000000000000000e+00,7.10774686466330240e+16,1.50861297265462875e+09,3.90947389231343389e+08,0.00000000000000000e+00,3.90947389231343389e+08
6816,2.45376000000000000e+07,-1.97268632471954395e+35,2.49019212293646097e-12,5.18969488310272000e+16,3.18360656733699619e+31,0.00000000000000000e+00,6.31772705377809280e+16,1.50861297265462875e+09,3.92328828769263387e+08,0.00000000000000000e+00,3.92328828769263387e+08
6840,2.46240000000000000e+07,-1.97268632471969780e+35,2.56818011507048327e-12,5.09315776218398720e+16,3.18360656733699574e+31,0.00000000000000000e+00,6.50914800641780240e+16,1.50861297265462923e+09,3.93710268307183087e+08,0.00000000000000000e+00,3.93710268307183087e+08
6864,2.47104000000000000e+07,-1.97268632471985017e+35,2.64542002094902297e-12,4.74747130641121280e+16,3.18360656733699619e+31,0.00000000000000000e+00,5.95980083153244800e+16,1.50861297265462947e+09,3.95091707845103025e+08,0.00000000000000000e+00,3.95091707845103025e+08
6888,2.47968000000000000e+07,-1.97268632471999995e+35,2.72135077588046909e-12,5.02586765056409600e+16,3.18360656733699709e+31,0.00000000000000000e+00,5.70622581907702560e+16,1.50861297265462947e+09,3.96473147383022785e+08,0.00000000000000000e+00,3.96473147383022785e+08
6912,2.48832000000000000e+07,-1.97268632472015380e+35,2.79933876801449140e-12,4.85610305523548160e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.35278799168996560e+16,1.50861297265462923e+09,3.97854586920942843e+08,0.00000000000000000e+00,3.97854586920942843e+08
6936,2.49696000000000000e+07,-1.97268632472029953e+35,2.87321228574336094e-12,5.23521466449264640e+16,3.18360656733699619e+31,0.00000000000000000e+00,6.35517228166600720e+16,1.50861297265462947e+09,3.99236026458862960e+08,0.00000000000000000e+00,3.99236026458862960e+08
6960,2.50560000000000000e+07,-1.97268632472044858e+35,2.94876899754706576e-12,4.70678937618350080e+16,3.18360656733699619e+31,0.00000000000000000e+00,5.92744535007206400e+16,1.50861297265462875e+09,4.00617465996782899e+08,0.00000000000000000e+00,4.00617465996782899e+08
6984,2.51424000000000000e+07,-1.97268632472059542e+35,3.02320357996754747e-12,4.22542318554316800e+16,3.18360656733699619e+31,0.00000000000000000e+00,5.55292204548765840e+16,1.50861297265462828e+09,4.01998905534702778e+08,0.00000000000000000e+00,4.01998905534702778e+08
7008,2.52288000000000000e+07,-1.97268632472073266e+35,3.09277560172739461e-12,4.37561647389736960e+16,3.18360656733699619e+31,0.00000000000000000e+00,5.66804743037486560e+16,1.50861297265462875e+09,4.03380345072622836e+08,0.00000000000000000e+00,4.03380345072622836e+08
7032,2.53152000000000000e+07,-1.97268632472086658e+35,3.16066442941240647e-12,3.67016981351628800e+16,3.18360656733699664e+31,0.00000000000000000e+00,4.83823595599010720e+16,1.50861297265462947e+09,4.04761784610542536e+08,0.00000000000000000e+00,4.04761784610542536e+08
7056,2.54016000000000000e+07,-1.97268632472099608e+35,3.22630899833097211e-12,4.62960365991362560e+16,3.18360656733699619e+31,0.00000000000000000e+00,5.86634231819305840e+16,1.50861297265462995e+09,4.06143224148462653e+08,0.00000000000000000e+00,4.06143224148462653e+08
7080,2.54880000000000000e+07,-1.97268632472111893e+35,3.28858717909986720e-12,4.42619400877506560e+16,3.18360656733699754e+31,0.00000000000000000e+00,4.96606441805069680e+16,1.50861297265462947e+09,4.07524663686382532e+08,0.00000000000000000e+00,4.07524663686382532e+08
7104,2.55744000000000000e+07,-1.97268632472124105e+35,3.35049131674102139e-12,4.56803100875816960e+16,3.18360656733699709e+31,0.00000000000000000e+00,5.30740753610374080e+16,1.50861297265462947e+09,4.08906103224302292e+08,0.00000000000000000e+00,4.08906103224302292e+08
7128,2.56608000000000000e+07,-1.97268632472135210e+35,3.40678480746605920e-12,4.47039437621166080e+16,3.18360656733699799e+31,0.00000000000000000e+00,4.81971071906282720e+16,1.50861297265462923e+09,4.10287542762222648e+08,0.00000000000000000e+00,4.10287542762222648e+08
7152,2.57472000000000000e+07,-1.97268632472145614e+35,3.45952488847755601e-12,3.87313966000373760e+16,3.18360656733699799e+31,0.00000000000000000e+00,4.27158007796624800e+16,1.50861297265462875e+09,4.11668982300142467e+08,0.00000000000000000e+00,4.11668982300142467e+08
7176,2.58336000000000000e+07,-1.97268632472155538e+35,3.50983368915873574e-12,4.59200036224368640e+16,3.18360656733699799e+31,0.00000000000000000e+00,4.93271252592632000e+16,1.50861297265462875e+09,4.13050421838062227e+08,0.00000000000000000e+00,4.13050421838062227e+08
7200,2.59200000000000000e+07,-1.97268632472164467e+35,3.55509290761541045e-12,4.80200708314890240e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.30376040442299280e+16,1.50861297265462947e+09,4.14431861375982404e+08,0.00000000000000000e+00,4.14431861375982404e+08
7224,2.60064000000000000e+07,-1.97268632472172657e+35,3.59661169479467411e-12,5.01993028777410560e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.50184537178433760e+16,1.50861297265462923e+09,4.15813300913902521e+08,0.00000000000000000e+00,4.15813300913902521e+08
7248,2.60928000000000000e+07,-1.97268632472180073e+35,3.63420302913265587e-12,5.17891966915051520e+16,3.18360656733699889e+31,0.00000000000000000e+00,5.25666294560152960e+16,1.50861297265462923e+09,4.17194740451822519e+08,0.00000000000000000e+00,4.17194740451822519e+08
7272,2.61792000000000000e+07,-1.97268632472185902e+35,3.66375243622420417e-12,5.37309342261575680e+16,3.18360656733699979e+31,0.00000000000000000e+00,5.37309342261575680e+16,1.50861297265462947e+09,4.18576179989742398e+08,0.00000000000000000e+00,4.18576179989742398e+08
7296,2.62656000000000000e+07,-1.97268632472191473e+35,3.69199269236865770e-12,5.05731368311848960e+16,3.18360656733699934e+31,0.00000000000000000e+00,5.07732663766021840e+16,1.50861297265462828e+09,4.19957619527662218e+08,0.00000000000000000e+00,4.19957619527662218e+08
7320,2.63520000000000000e+07,-1.97268632472195863e+35,3.71424825846925435e-12,5.05599426916515840e+16,3.18360656733699934e+31,0.00000000000000000e+00,5.07601242570065440e+16,1.50861297265462923e+09,4.21339059065581918e+08,0.00000000000000000e+00,4.21339059065581918e+08
7344,2.64384000000000000e+07,-1.97268632472199479e+35,3.73257637172856829e-12,4.48776665993052160e+16,3.18360656733700024e+31,0.00000000000000000e+00,4.51030749395431680e+16,1.50861297265462971e+09,4.22720498603501916e+08,0.00000000000000000e+00,4.22720498603501916e+08
7368,2.65248000000000000e+07,-1.97268632472201987e+35,3.74529383807176627e-12,4.61377069247365120e+16,3.18360656733699979e+31,0.00000000000000000e+00,4.61377069247365120e+16,1.50861297265462971e+09,4.24101938141422093e+08,0.00000000000000000e+00,4.24101938141422093e+08
7392,2.66112000000000000e+07,-1.97268632472203647e+35,3.75370980844594143e-12,5.42147193423790080e+16,3.18360656733699979e+31,0.00000000000000000e+00,5.42147193423790080e+16,1.50861297265462971e+09,4.25483377679342091e+08,0.00000000000000000e+00,4.25483377679342091e+08
7416,2.66976000000000000e+07,-1.97268632472204164e+35,3.75632811034012937e-12,5.56660746910433280e+16,3.18360656733699979e+31,0.00000000000000000e+00,5.56660746910433280e+16,1.50861297265462947e+09,4.26864817217261970e+08,0.00000000000000000e+00,4.26864817217261970e+08
7440,2.67840000000000000e+07,-1.97268632472203426e+35,3.75258767906271791e-12,5.02366862730854400e+16,3.18360656733699889e+31,0.00000000000000000e+00,5.10377731304473920e+16,1.50861297265462828e+09,4.28246256755181909e+08,0.00000000000000000e+00,4.28246256755181909e+08
7464,2.68704000000000000e+07,-1.97268632472202061e+35,3.74566788119950798e-12,4.26016775298088960e+16,3.18360656733699844e+31,0.00000000000000000e+00,4.46927803429892800e+16,1.50861297265462780e+09,4.29627696293101847e+08,0.00000000000000000e+00,4.29627696293101847e+08
7488,2.69568000000000000e+07,-1.97268632472199073e+35,3.73051913452599252e-12,4.21178924135874560e+16,3.18360656733699844e+31,0.00000000000000000e+00,4.42318725332241920e+16,1.50861297265462852e+09,4.31009135831021905e+08,0.00000000000000000e+00,4.31009135831021905e+08
7512,2.70432000000000000e+07,-1.97268632472195642e+35,3.71312612908603083e-12,4.69777338083573760e+16,3.18360656733699979e+31,0.00000000000000000e+00,4.69777338083573760e+16,1.50861297265462875e+09,4.32390575368941903e+08,0.00000000000000000e+00,4.32390575368941903e+08
7536,2.71296000000000000e+07,-1.97268632472191510e+35,3.69217971393252815e-12,4.80266679012556800e+16,3.18360656733699799e+31,0.00000000000000000e+00,5.12940482254611040e+16,1.50861297265462828e+09,4.33772014906861782e+08,0.00000000000000000e+00,4.33772014906861782e+08
7560,2.72160000000000000e+07,-1.97268632472185976e+35,3.66412647935194507e-12,5.10921063194951680e+16,3.18360656733699799e+31,0.00000000000000000e+00,5.41749193060868800e+16,1.50861297265462875e+09,4.35153454444781780e+08,0.00000000000000000e+00,4.35153454444781780e+08
7584,2.73024000000000000e+07,-1.97268632472179741e+35,3.63251983505782100e-12,4.32591854832189440e+16,3.18360656733699844e+31,0.00000000000000000e+00,4.53199604490604720e+16,1.50861297265462780e+09,4.36534893982701838e+08,0.00000000000000000e+00,4.36534893982701838e+08
7608,2.73888000000000000e+07,-1.97268632472172177e+35,3.59418041446435663e-12,4.93636740406312960e+16,3.18360656733699844e+31,0.00000000000000000e+00,5.11792340820235520e+16,1.50861297265462756e+09,4.37916333520622015e+08,0.00000000000000000e+00,4.37916333520622015e+08
7632,2.74752000000000000e+07,-1.97268632472163950e+35,3.55247460572122251e-12,5.03422393893519360e+16,3.18360656733699889e+31,0.00000000000000000e+00,5.11416728818037840e+16,1.50861297265462828e+09,4.39297773058541894e+08,0.00000000000000000e+00,4.39297773058541894e+08
7656,2.75616000000000000e+07,-1.97268632472155243e+35,3.50833751664777132e-12,5.54153860399104000e+16,3.18360656733699934e+31,0.00000000000000000e+00,5.55980882724932160e+16,1.50861297265462852e+09,4.40679212596461654e+08,0.00000000000000000e+00,4.40679212596461654e+08
7680,2.76480000000000000e+07,-1.97268632472145503e+35,3.45896382378594425e-12,5.20970599472824320e+16,3.18360656733699934e+31,0.00000000000000000e+00,5.22913574575607200e+16,1.50861297265462852e+09,4.42060652134381354e+08,0.00000000000000000e+00,4.42060652134381354e+08
7704,2.77344000000000000e+07,-1.97268632472135358e+35,3.40753289372154141e-12,4.71844419943792640e+16,3.18360656733699979e+31,0.00000000000000000e+00,4.71844419943792640e+16,1.50861297265462852e+09,4.43442091672301173e+08,0.00000000000000000e+00,4.43442091672301173e+08
7728,2.78208000000000000e+07,-1.97268632472124732e+35,3.35367068332682108e-12,4.76088534827008000e+16,3.18360656733699934e+31,0.00000000000000000e+00,4.78213899791811120e+16,1.50861297265462828e+09,4.44823531210221231e+08,0.00000000000000000e+00,4.44823531210221231e+08
7752,2.79072000000000000e+07,-1.97268632472113517e+35,3.29681612791017191e-12,5.08282235288289280e+16,3.18360656733699889e+31,0.00000000000000000e+00,5.16201312039324960e+16,1.50861297265462732e+09,4.46204970748141289e+08,0.00000000000000000e+00,4.46204970748141289e+08
7776,2.79936000000000000e+07,-1.97268632472101821e+35,3.23753029216320526e-12,5.27523688774369280e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.73574115722847760e+16,1.50861297265462708e+09,4.47586410286061108e+08,0.00000000000000000e+00,4.47586410286061108e+08
7800,2.80800000000000000e+07,-1.97268632472089610e+35,3.17562615452205108e-12,5.24555007379374080e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.70844970001404480e+16,1.50861297265462732e+09,4.48967849823981166e+08,0.00000000000000000e+00,4.48967849823981166e+08
7824,2.81664000000000000e+07,-1.97268632472077029e+35,3.11185180124219116e-12,5.60399086444871680e+16,3.18360656733699754e+31,0.00000000000000000e+00,6.03947977972752160e+16,1.50861297265462708e+09,4.50349289361901224e+08,0.00000000000000000e+00,4.50349289361901224e+08
7848,2.82528000000000000e+07,-1.97268632472064264e+35,3.04714234014297859e-12,5.35440172494356480e+16,3.18360656733699799e+31,0.00000000000000000e+00,5.64931884112260800e+16,1.50861297265462661e+09,4.51730728899821222e+08,0.00000000000000000e+00,4.51730728899821222e+08
7872,2.83392000000000000e+07,-1.97268632472051277e+35,2.98131074966054290e-12,5.31349989239029760e+16,3.18360656733699844e+31,0.00000000000000000e+00,5.48258132367960000e+16,1.50861297265462637e+09,4.53112168437741101e+08,0.00000000000000000e+00,4.53112168437741101e+08
7896,2.84256000000000000e+07,-1.97268632472037701e+35,2.91248681415617797e-12,5.86875326441717760e+16,3.18360656733699799e+31,0.00000000000000000e+00,6.13901054040401120e+16,1.50861297265462613e+09,4.54493607975660861e+08,0.00000000000000000e+00,4.54493607975660861e+08
7920,2.85120000000000000e+07,-1.97268632472024603e+35,2.84609415898213053e-12,5.67611882723082240e+16,3.18360656733699754e+31,0.00000000000000000e+00,6.10646602723352000e+16,1.50861297265462637e+09,4.55875047513580620e+08,0.00000000000000000e+00,4.55875047513580620e+08
7944,2.85984000000000000e+07,-1.97268632472011432e+35,2.77932746068034178e-12,5.20200941333381120e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.66846578337794160e+16,1.50861297265462661e+09,4.57256487051500440e+08,0.00000000000000000e+00,4.57256487051500440e+08
7968,2.86848000000000000e+07,-1.97268632471998077e+35,2.71162565455920036e-12,5.09469707846287360e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.57014728011845840e+16,1.50861297265462661e+09,4.58637926589420378e+08,0.00000000000000000e+00,4.58637926589420378e+08
7992,2.87712000000000000e+07,-1.97268632471984832e+35,2.64448491312967030e-12,5.53494153422438400e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.97546485122246320e+16,1.50861297265462708e+09,4.60019366127340496e+08,0.00000000000000000e+00,4.60019366127340496e+08
8016,2.88576000000000000e+07,-1.97268632471971956e+35,2.57921438733884597e-12,5.78145204117176320e+16,3.18360656733699709e+31,0.00000000000000000e+00,6.38175956627039840e+16,1.50861297265462637e+09,4.61400805665260255e+08,0.00000000000000000e+00,4.61400805665260255e+08
8040,2.89440000000000000e+07,-1.97268632471959708e+35,2.51712322813382134e-12,6.36155437598638080e+16,3.18360656733699754e+31,0.00000000000000000e+00,6.74833138483465360e+16,1.50861297265462589e+09,4.62782245203180075e+08,0.00000000000000000e+00,4.62782245203180075e+08
8064,2.90304000000000000e+07,-1.97268632471947680e+35,2.45615419831201981e-12,6.10668758066790400e+16,3.18360656733699709e+31,0.00000000000000000e+00,6.67782155086508880e+16,1.50861297265462542e+09,4.64163684741099894e+08,0.00000000000000000e+00,4.64163684741099894e+08
8088,2.91168000000000000e+07,-1.97268632471935948e+35,2.39668134100118271e-12,5.77353555745177600e+16,3.18360656733699754e+31,0.00000000000000000e+00,6.19712152810261680e+16,1.50861297265462589e+09,4.65545124279019952e+08,0.00000000000000000e+00,4.65545124279019952e+08
8112,2.92032000000000000e+07,-1.97268632471924548e+35,2.33889167776518088e-12,5.83620772023500800e+16,3.18360656733699709e+31,0.00000000000000000e+00,6.43140637893807120e+16,1.50861297265462613e+09,4.66926563816939831e+08,0.00000000000000000e+00,4.66926563816939831e+08
8136,2.92896000000000000e+07,-1.97268632471913443e+35,2.28259818704014347e-12,4.73823540873789440e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.24609161085950560e+16,1.50861297265462661e+09,4.68308003354859948e+08,0.00000000000000000e+00,4.68308003354859948e+08
8160,2.93760000000000000e+07,-1.97268632471903335e+35,2.23135427853961068e-12,5.11009024125173760e+16,3.18360656733699799e+31,0.00000000000000000e+00,5.41832149381342160e+16,1.50861297265462637e+09,4.69689442892779827e+08,0.00000000000000000e+00,4.69689442892779827e+08
8184,2.94624000000000000e+07,-1.97268632471893742e+35,2.18272867193326622e-12,4.31668265064857600e+16,3.18360656733699799e+31,0.00000000000000000e+00,4.67749234558376160e+16,1.50861297265462613e+09,4.71070882430700183e+08,0.00000000000000000e+00,4.71070882430700183e+08
8208,2.95488000000000000e+07,-1.97268632471884925e+35,2.13803051816820327e-12,4.64257789712138240e+16,3.18360656733699799e+31,0.00000000000000000e+00,4.97983082718923920e+16,1.50861297265462637e+09,4.72452321968619943e+08,0.00000000000000000e+00,4.72452321968619943e+08
8232,2.96352000000000000e+07,-1.97268632471876882e+35,2.09725981724442182e-12,4.22608289251983360e+16,3.18360656733699844e+31,0.00000000000000000e+00,4.43679991421491200e+16,1.50861297265462708e+09,4.73833761506539583e+08,0.00000000000000000e+00,4.73833761506539583e+08
8256,2.97216000000000000e+07,-1.97268632471869872e+35,2.06172572010901584e-12,4.49788216690606080e+16,3.18360656733699844e+31,0.00000000000000000e+00,4.69642000375820400e+16,1.50861297265462708e+09,4.75215201044459701e+08,0.00000000000000000e+00,4.75215201044459701e+08
8280,2.98080000000000000e+07,-1.97268632471863010e+35,2.02693970922909247e-12,4.76396398082785280e+16,3.18360656733699709e+31,0.00000000000000000e+00,5.47695355721953920e+16,1.50861297265462708e+09,4.76596640582379639e+08,0.00000000000000000e+00,4.76596640582379639e+08
8304,2.98944000000000000e+07,-1.97268632471857328e+35,1.99813838839302678e-12,5.61938402723758080e+16,3.18360656733699709e+31,0.00000000000000000e+00,6.23531429062621120e+16,1.50861297265462708e+09,4.77978080120299459e+08,0.00000000000000000e+00,4.77978080120299459e+08
8328,2.99808000000000000e+07,-1.97268632471852458e+35,1.97345154196211345e-12,5.46369318074449920e+16,3.18360656733699709e+31,0.00000000000000000e+00,6.09537616809894240e+16,1.50861297265462661e+09,4.79359519658219337e+08,0.00000000000000000e+00,4.79359519658219337e+08
8352,3.00672000000000000e+07,-1.97268632471848437e+35,1.95306619150022252e-12,4.81234249244999680e+16,3.18360656733699709e+31,0.00000000000000000e+00,5.51908576867169600e+16,1.50861297265462637e+09,4.80740959196139336e+08,0.00000000000000000e+00,4.80740959196139336e+08
8376,3.01536000000000000e+07,-1.97268632471845117e+35,1.93623425075187259e-12,5.45797572028006400e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.90424435165750880e+16,1.50861297265462708e+09,4.82122398734059393e+08,0.00000000000000000e+00,4.82122398734059393e+08
8400,3.02400000000000000e+07,-1.97268632471843051e+35,1.92576104317512125e-12,4.67996129246576640e+16,3.18360656733699844e+31,0.00000000000000000e+00,4.87108351019631920e+16,1.50861297265462637e+09,4.83503838271979213e+08,0.00000000000000000e+00,4.83503838271979213e+08
8424,3.03264000000000000e+07,-1.97268632471841759e+35,1.91921528843965181e-12,4.32196030646190080e+16,3.18360656733699754e+31,0.00000000000000000e+00,4.87339135423630480e+16,1.50861297265462613e+09,4.84885277809899151e+08,0.00000000000000000e+00,4.84885277809899151e+08
8448,3.04128000000000000e+07,-1.97268632471841169e+35,1.91622294341772297e-12,3.88831292046704640e+16,3.18360656733699709e+31,0.00000000000000000e+00,4.73504433187119920e+16,1.50861297265462589e+09,4.86266717347819090e+08,0.00000000000000000e+00,4.86266717347819090e+08
8472,3.04992000000000000e+07,-1.97268632471841353e+35,1.91715805123707563e-12,4.88842869709209600e+16,3.18360656733699754e+31,0.00000000000000000e+00,5.38213131830378560e+16,1.50861297265462542e+09,4.87648156885739326e+08,0.00000000000000000e+00,4.87648156885739326e+08
8496,3.05856000000000000e+07,-1.97268632471842350e+35,1.92220763346158065e-12,5.10921063194951680e+16,3.18360656733699799e+31,0.00000000000000000e+00,5.41749193060868800e+16,1.50861297265462613e+09,4.89029596423658907e+08,0.00000000000000000e+00,4.89029596423658907e+08
8520,3.06720000000000000e+07,-1.97268632471844785e+35,1.93455105667703732e-12,4.37781549715292160e+16,3.18360656733699754e+31,0.00000000000000000e+00,4.92299410196936960e+16,1.50861297265462589e+09,4.90411035961578786e+08,0.00000000000000000e+00,4.90411035961578786e+08
8544,3.07584000000000000e+07,-1.97268632471847736e+35,1.94951278178668192e-12,4.13900157159997440e+16,3.18360656733699709e+31,0.00000000000000000e+00,4.94297496119711920e+16,1.50861297265462589e+09,4.91792475499498427e+08,0.00000000000000000e+00,4.91792475499498427e+08
8568,3.08448000000000000e+07,-1.97268632471851352e+35,1.96784089504599667e-12,4.43147166458839040e+16,3.18360656733699754e+31,0.00000000000000000e+00,4.97076890580951440e+16,1.50861297265462542e+09,4.93173915037418664e+08,0.00000000000000000e+00,4.93173915037418664e+08
8592,3.09312000000000000e+07,-1.97268632471855963e+35,1.99121859052981603e-12,4.40332416691732480e+16,3.18360656733699664e+31,0.00000000000000000e+00,5.41550038544431040e+16,1.50861297265462518e+09,4.94555354575338542e+08,0.00000000000000000e+00,4.94555354575338542e+08
8616,3.10176000000000000e+07,-1.97268632471861387e+35,2.01871076041878816e-12,4.35362624134184960e+16,3.18360656733699664e+31,0.00000000000000000e+00,5.37516903502482240e+16,1.50861297265462518e+09,4.95936794113258362e+08,0.00000000000000000e+00,4.95936794113258362e+08
8640,3.11040000000000000e+07,-1.97268632471867142e+35,2.04788612438259475e-12,3.93537201813585920e+16,3.18360656733699754e+31,0.00000000000000000e+00,4.53406609149443520e+16,1.50861297265462589e+09,4.97318233651178539e+08,0.00000000000000000e+00,4.97318233651178539e+08
8664,3.11904000000000000e+07,-1.97268632471873746e+35,2.08136298431542455e-12,3.80914808326717440e+16,3.18360656733699709e+31,0.00000000000000000e+00,4.67025444462853520e+16,1.50861297265462589e+09,4.98699673189098239e+08,0.00000000000000000e+00,4.98699673189098239e+08
8688,3.12768000000000000e+07,-1.97268632471881604e+35,2.12119857741985294e-12,4.30524772971970560e+16,3.18360656733699619e+31,0.00000000000000000e+00,5.61390240034450080e+16,1.50861297265462589e+09,5.00081112727018356e+08,0.00000000000000000e+00,5.00081112727018356e+08
8712,3.13632000000000000e+07,-1.97268632471889758e+35,2.16253034303524615e-12,4.80882405524111360e+16,3.18360656733699619e+31,0.00000000000000000e+00,6.00878780958378160e+16,1.50861297265462613e+09,5.01462552264938414e+08,0.00000000000000000e+00,5.01462552264938414e+08
8736,3.14496000000000000e+07,-1.97268632471898169e+35,2.20517125959773292e-12,5.22795788774932480e+16,3.18360656733699664e+31,0.00000000000000000e+00,6.10490985861951120e+16,1.50861297265462518e+09,5.02843991802858412e+08,0.00000000000000000e+00,5.02843991802858412e+08
8760,3.15360000000000000e+07,-1.97268632471907061e+35,2.25024345649053718e-12,5.36253811098910720e+16,3.18360656733699664e+31,0.00000000000000000e+00,6.22054625395551120e+16,1.50861297265462589e+09,5.04225431340778470e+08,0.00000000000000000e+00,5.04225431340778470e+08
8784,3.16224000000000000e+07,-1.97268632471916801e+35,2.29961714935236385e-12,5.72493714350407680e+16,3.18360656733699754e+31,0.00000000000000000e+00,6.15187026017174160e+16,1.50861297265462637e+09,5.05606870878698468e+08,0.00000000000000000e+00,5.05606870878698468e+08
