step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
240,8.64000000000000000e+05,-1.97268632471506065e+35,2.17506078781457337e-13,3.35282326994944000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.01343733840768600e+15,1.50861297265463972e+09,1.38143953791993801e+07,0.00000000000000000e+00,1.38143953791993801e+07
264,9.50400000000000000e+05,-1.97268632471515399e+35,2.64822534440708125e-13,6.92554886545408000e+14,3.18360656733700114e+31,0.00000000000000000e+00,1.35285371974852840e+16,1.50861297265463972e+09,1.51958349171193242e+07,0.00000000000000000e+00,1.51958349171193242e+07
288,1.03680000000000000e+06,-1.97268632471525840e+35,3.17749637016075690e-13,6.83483915616256000e+14,3.18360656733700204e+31,0.00000000000000000e+00,2.25283685684116480e+16,1.50861297265463924e+09,1.65772744550392535e+07,0.00000000000000000e+00,1.65772744550392535e+07
312,1.12320000000000000e+06,-1.97268632471536171e+35,3.70115674899831497e-13,7.22104261541888000e+14,3.18360656733700294e+31,0.00000000000000000e+00,3.15334664308170960e+16,1.50861297265463924e+09,1.79587139929591976e+07,0.00000000000000000e+00,1.79587139929591976e+07
336,1.20960000000000000e+06,-1.97268632471548345e+35,4.31832790977115180e-13,5.22130584240128000e+14,3.18360656733700249e+31,0.00000000000000000e+00,2.70266417832193680e+16,1.50861297265463877e+09,1.93401535308791399e+07,0.00000000000000000e+00,1.93401535308791399e+07
360,1.29600000000000000e+06,-1.97268632471561221e+35,4.97103316767939411e-13,6.50361127829504000e+14,3.18360656733700204e+31,0.00000000000000000e+00,2.25273879907965240e+16,1.50861297265463829e+09,2.07215930687990747e+07,0.00000000000000000e+00,2.07215930687990747e+07
384,1.38240000000000000e+06,-1.97268632471574245e+35,5.63121928814245953e-13,2.11518549393408000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.00968248671084800e+15,1.50861297265463781e+09,2.21030326067190282e+07,0.00000000000000000e+00,2.21030326067190282e+07
408,1.46880000000000000e+06,-1.97268632471588338e+35,6.34564166212798517e-13,3.60227497050112000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.01439971735432200e+15,1.50861297265463710e+09,2.34844721446389705e+07,0.00000000000000000e+00,2.34844721446389705e+07
432,1.55520000000000000e+06,-1.97268632471602948e+35,7.08624705505538917e-13,4.07506497044480000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.01641280996717400e+15,1.50861297265463614e+09,2.48659116825589202e+07,0.00000000000000000e+00,2.48659116825589202e+07
456,1.64160000000000000e+06,-1.97268632471618074e+35,7.85303546692467153e-13,3.99122720882688000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.01603778613041800e+15,1.50861297265463543e+09,2.62473512204788700e+07,0.00000000000000000e+00,2.62473512204788700e+07
480,1.72800000000000000e+06,-1.97268632471633348e+35,8.62730474134877598e-13,3.33152023216128000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.01335834665302200e+15,1.50861297265463543e+09,2.76287907583988123e+07,0.00000000000000000e+00,2.76287907583988123e+07
504,1.81440000000000000e+06,-1.97268632471649434e+35,9.44271875982440198e-13,9.88186075463680000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.06124440319027000e+15,1.50861297265463495e+09,2.90102302963187508e+07,0.00000000000000000e+00,2.90102302963187508e+07
528,1.90080000000000000e+06,-1.97268632471665740e+35,1.02693540721322621e-12,1.91589901139968000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.00923665494616200e+15,1.50861297265463495e+09,3.03916698342386931e+07,0.00000000000000000e+00,3.03916698342386931e+07
552,1.98720000000000000e+06,-1.97268632471682269e+35,1.11072106782723575e-12,1.63277476724736000e+14,3.18360656733700114e+31,0.00000000000000000e+00,1.35117854470558640e+16,1.50861297265463448e+09,3.17731093721586242e+07,0.00000000000000000e+00,3.17731093721586242e+07
576,2.07360000000000000e+06,-1.97268632471698760e+35,1.19431970687737442e-12,6.05830906904576000e+14,3.18360656733700114e+31,0.00000000000000000e+00,1.35243749401081700e+16,1.50861297265463424e+09,3.31545489100785702e+07,0.00000000000000000e+00,3.31545489100785702e+07
600,2.16000000000000000e+06,-1.97268632471715252e+35,1.27791834592751330e-12,6.01707738300416000e+14,3.18360656733700159e+31,0.00000000000000000e+00,1.80244446755165600e+16,1.50861297265463424e+09,3.45359884479985088e+07,0.00000000000000000e+00,3.45359884479985088e+07
624,2.24640000000000000e+06,-1.97268632471732333e+35,1.36450932999958102e-12,6.91317935964160000e+14,3.18360656733700204e+31,0.00000000000000000e+00,2.25286076041081040e+16,1.50861297265463328e+09,3.59174279859184697e+07,0.00000000000000000e+00,3.59174279859184697e+07
